Говорили	Vmis-p-a-e	говорить
,	,	,
что	C	что
на	Sp-l	на
набережной	Ncfsln	набережная
появилось	Vmis-snm-p	появиться
новое	Afpnsaf	новый
лицо	Ncnsan	лицо
:	-	:
дама	Ncfsny	дама
с	Sp-i	с
собачкой	Ncfsiy	собачка
.	SENT	.
Дмитрий	Npmsny	Дмитрий
Дмитрич	Npmsny	Дмитрич
Гуров	Npmsny	Гуров
,	,	,
проживший	Vmps-sma-pn	прожить
в	Sp-l	в
Ялте	Ncfsln	Ялта
уже	R	уже
две	Mcf-n	два
недели	Ncfsgn	неделя
и	C	и
привыкший	Vmps-smafpn	привыкнуть
тут	P-----r	тут
,	,	,
тоже	Q	тоже
стал	Vmis-sma-p	стать
интересоваться	Vmn----m-e	интересоваться
новыми	Afpmpif	новый
лицами	Ncnpiy	лицо
.	SENT	.
